Customer Number,PEAK,PEAK TIME,MIN,MIN TIME,MAXROC,HOURBEFORE,VAR,TOTAL,LOADFAC
355,660,8,-16,11,-290,10,27543.2971,6082,0.383964646
356,614,24,232,1,120,20,9468.514493,9011,0.611495657
357,712,8,164,23,338,7,21559.81884,7744,0.453183521
358,494,8,62,15,-164,10,12895.12319,5499,0.463815789
359,528,8,60,14,-168,9,15479.53623,5556,0.43844697
360,658,8,24,16,346,7,19159.23913,5206,0.329660588
361,406,5,-110,13,-166,10,25632.68841,5236,0.537356322
362,742,9,40,14,-268,11,38962.42754,7678,0.431154537
363,680,8,-390,14,-386,12,56173.21014,4979,0.305085784
364,394,8,-182,11,-326,9,36535.81884,3555,0.375951777
365,392,5,-596,14,-380,10,113782.5797,2058,0.21875
,,,,,,,,,
